
Mine/Prospect,Notes 
Black Butte,"Location: Additional Location Information: Located 17 miles north of White Sulphur Springs (955, 2020), central Montana.
Project Description: Status of Project: Development. Mine construction was delayed during years of litigation over the Montana DEQ operating permit.  The developer has not yet announced a timetable for construction after the favorable 2024 decision of the Montana State Supreme Court.
Project Description: Regulatory Challenges: The developer is managing opposition from several conservation groups and mayors of towns that are downstream of the planned project. In 2018 the developer helped defeat (56% - 44%) a statewide ballot proposition (Montana I-186) that would have restricted permitting for mining projects such as Black Butte. The developer is also managing two sets of multi-year lawsuits against its permits, and both cases reached the Montana Supreme Court.
Statements of Support from Public Officials: Local: Local support for the project is strong. The Meagher County commission gave its approval to Sandfire’s mine impact plan. Many businesses along the town’s Main St. display weathered signs in their front windows proclaiming support for the project..
Litigation: Evidence of Litigation: In 2024 the Montana Supreme Court upheld the project's operating permit, reversing the lower court's decision. A separate lawsuit alleged the Montana Department of Environmental Quality should have required more permits for the project's planned usage of groundwater. The Montana Supreme Court heard the case in March 2024 and has not yet released a decision.
Concerned Interest Groups: Environmental Groups: Save Our Smith coalition formed in opposition to the mine. Montana Trout Unlimited also opposes the mine.
Reasons for Concern: Water Quality: The Smith River is 20 miles downstream of the project site, with Sheep Creek (near the project site) flowing into it.
Reasons for Concern: Recreation: Popular boating areas (Smith River) are nearby."
Blackpine,"Location: Additional Location Information: Near Cobalt (pop 13, 2020), central Idaho. 
Project Description: Existing Mine: Land includes old Blackpine copper mine operated from 1945 to 1965.
Project Description: Status of Project: In FY 2023 Annual Report the developer stated there was no significant exploration activity at the site and no progress has been made; Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024.
Land Ownership: Type of Land: Public land with US Forest Service oversight."
Blue Clay,"Location: Additional Location Information: Near town of Silver Peak (pop 121, 2020), Clayton Valley, Esmeralda County, Nevada. Directly adjoins the western portion of lithium producer Albemarle’s evaporation ponds and is nearby Century Lithium Corp.’s proposed 5,430-acre Angel Island Lithium Mine.                                                                                        Status of Project:  In 2022 the developer’s maiden drill program revealed a new lithium discovery through Blue Clay Lithium Project in Clayton Valley. Lithium values as high as 1230 ppm Li were encountered with 800 ppm Li over 120 feet, including 1,011 ppm Li over 40 feet.                                                                                                                                          Change in Ownership: The developer closed an option agreement dated September 30, 2021 to acquire the Blue Clay Lithium Project in Clayton Valley Nevada. This project consists of 94 contiguous claims totaling approximately 1950 acres prospective for lithium. "
Bonanza,"Location: Additional Location Information: Near Cobalt (pop 13, 2020), central Idaho.
Project Description: Status of Project:  In the first quarter of 2024, the developer reported no field activity at the site.  
Land Ownership: Type of Land: 3,200 hectare Bonanza Project holdings."
Bonnie Claire,"Location: Additional Location Information: Nearest town is Beatty (population 880, 2020), 25 miles southeast; Beatty is 8 miles east of Death Valley National Park in southeast Nevada; 125 miles northwest of Las Vegas, Nevada.
Project Description: Mining Method: Borehole extraction method.
Project Description: Existing Mine: Previous industrial site – milling for local mines in the 1900s.
Project Description: Status of Project: The 2024 drilling program extended to 2,807 feet and intersected the northeast continuation of the high-grade Lithium and Boron mineralized zone. The 518 ft intercept is the thickest +5,000 ppm lithium interval drilled to date.
Developer Description: Was There Change in Ownership during Project?:  Iconic Minerals LTD first staked the land, then split ownership 50/50 with Nevada Lithium Resources Inc. before Nevada Lithium Inc. secured 100% ownership of the project.  
Commercial Plans: Processing Plan in US: Mineral processing has been planned to be conducted on-site, however this is still in the development phase; 
Land Ownership: Type of Land: Private Land - 18300-acre land package."
Borax Lake,"Location: Additional Location Information: Near town of Fields (pop 120, 2010), in Alvord Desert, southeast Oregon. 
Project Description: Status of Project: Work at the site ended in 2022 when the BLM determined that the claims were in an area of eastern Oregon that Congress withdrew from mining in a federal conservation law called the Steens Act of 2,000.  
Project Description: Regulatory Challenges: The land this project was planned for is off-limits to mining per an action by Congress.
Concerned Interest Groups: Scale of Environmental Groups: Regional -- Regional Wildlands Defense "
Boron,"Location: Additional Location Information:  Located on western edge of Mojave Desert, near town of Boron (pop 2,086, 2020), south-central California. Boron was a mining town established soon after a borax deposit was discovered in 1925. Site of California’s largest open-pit mine (boron) and largest boronate mine in the world.
Project Description: Status of Project: Development of the lithium project at Boron draws on developer’s long standing partnership with the U.S. Department of Energy’s Critical Materials Institute (CMI), which is committed to discovering ways to economically recover critical mineral by-products from existing refining and smelting processes. CMI experts worked alongside the developer’s technical leads to help solve a number of key processing challenges to produce battery grade lithium at Boron. The next step is to scale up the project.
Financial Support: Federal Agency: In-kind assistance through technical collaboration with DOE’s Critical Materials Institute; no grant or loan."
Brook,"Location: Additional Location Information: Outside Sheridan (pop 18,737), in north central Wyoming                                                                                             Project Descriptions: Regulatory Challenges: The developer originally thought it could initiate rare earth mining under its 2020 coal mining permit.  However, it may be necessary to obtain a separate permit for rare-earth mining insofar as the method is different in environmental impacts could be somewhat different.  Nicole Pollack. Questions Remain for Rare Earths Mining Project in Northern Wyoming. Star Tribune, May 22, 2023; updated June 24, 2024.                                                                                                                               Developer Description: Lead Developer: Ramaco Resources (US, coal producer).  Even Ramaco itself is a relative newcomer; the miner with properties in West Virginia and Virginia was founded in 2011, went public in 2017 and has since grown to a run rate of 5 million tons annually (with plans to expand to 7+ Mtpy as the market allows), over 1,000 employees and reserves of roughly 60 million tons.                                                                                                                                                                                                                                      Developer Description: Was There Change in Ownernship during Project?: Ramaco purchased the Brook mine in 2011. It had been continuously owned by Pittston Coal since 1912                                        Land Ownership: Type of Land: Private -- The Brook Mine comprises over 15,800 acres outside of Sheridan, Wyoming, one of the largest privately controlled mineral reserves in the Western United States. Roughly 4,500 acres were permitted for mining in 2020, which is where the initial assessment program has been conducted. Mining at the Brook Mine could begin as early as the fourth quarter of 2023, following additional mining development and assessment. The additional 11,300 acres will be also assessed and could provide opportunity to increase the scale of the overall development in the future.                                                                                                                                                                             Statements of Support from Public Officials: Representative Cyrus Western (R-Big Horn)                                                                                                                                                           Concerned Intersest Groups: Community Residents/Groups: Powder River Basin Council (landowners group that has been battling coal development for years).  The Council influenced the developer’s July 2020 coal mining permit, which has conditions addressing land subsidence as well as sage grouse protection.                                              Reasons for Concern: Water Quality: The developer started by looking at mining of coal but has shifted to rare earths.  The Powder River Basin Resource Council is concerned. It has been fighting Ramaco for years, back when the company still planned to mine coal. Residents worried how its presence might affect air and water quality, according to Wyoming Public Radio. With plans for the mine shifting to REEs, the PRBRC seems to still have concerns, according to The Casper Star-Tribune."
Cactus Copper,"Location: Additional Location Information:  Located 43 miles south of Phoenix International Airport and 6.2 miles south of the city of Casa Grande (pop 55,653, 2020), Arizona.  
Project Description: Mining Method: 94% of mined material from open pit (Cactus West and Parks/Salyer), 6% from the Stockpile and Cactus East underground.
Project Description: Existing Mine: Yes. ASARCO operated copper mine from 1974-1984.   It was called the Sacaton mine.  
Project Description: Status of Project:  The developer completed a Preliminary Economic Assessment in the third quarter of 2024 following an updated mineral resource estimate from July 2024.  The next step is a definitive feasibility study.   
Developer Description: Lead Developer: Arizona Sonoran Copper (ASCU) has granted Nuton (a subsidiary of Rio Tinto Inc) an exclusive right and option to acquire between a 35% and 40% interest in its Cactus project.
Developer Description: Was There Change in Ownership during Project?: Developer acquired project from ASARCO Trust in July 2020.  
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company:Copper cathodes will be produced directly onsite through heap leaching, solvent extraction, and electrowinning (SXEW), including a four-year ramp-up period.  "
Carolina Lithium,"Location: Additional Location Information: Located about 30 miles west of Charlotte, North Carolina, near the town of Cherryville (pop 6,707, 2020) within the Carolina Tin-Spodumene Belt.  From the 1950s to the 1980s, the Carolina Tin-Spodumene Belt provided nearly all the world’s lithium, delivering important supply chain resources to the U.S. military as well as the automotive, glass, ceramics, and pharmaceutical industries.
Project Description: Mining Method: Plan for 4 new open pit mines, each 50 feet deep, 1,500 acres.
Project Description: Existing Mine: Site is location of old lithium mines that closed in 1980s and 1990s (competition from South America)
Project Description: Status of Project: The developer no longer has an explicit schedule for starting production but in 2024 secured a critical state permit
Project Description: Regulatory Challenges: It took the developer several years longer than expected to obtain necessary state permits.  The required rezoning by the Gaston County Commissioners has not yet occurred.
Developer Description: Parent Company: The Australian company Sayona is buying Piedmont Lithium (developer of Carolina Lithium in Gaston County).  CEO of Piedmont Lithium is turning over and Sanona will become parent of a new subsidiary that includes Piedmont Lithium.
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: The developer replaced a planned processing plant at the mine site with a new plant in Tennessee ($141.7 million federal grant) with mined ore from Quebec and Ghana util Carolina Lithium is operational; however, in 2024 the developer, facing financial challenges, decided not to proceed with the processing plant in Tennessee.
Financial Support: Public Supply Agreement w/ an Automaker or Battery/Component Producer: The developer in 2020 signed a deal to supply Tesla from Carolina Lithium. Tesla agreed to buy 160,000 tons/year of spodumene for at least five years (the expectation was it would come from the new Gaston County mine); first deliveries were scheduled for July 2022 and July 2023; The Tesla deal was amended in January 2023 to 125,000 tons per year from 2023-2025 (the likely source being Piedmont Lithium’s lithium mine in Quebec, Canada in partnership with Sayona Quebec)
Land Ownership: Type of Land: Company controls 3,100 acres of private land. 
Statements of Support from Public Officials: Local: Mayor and town officials of Cherryville (nearest town) are cooperating with the developer.
Statements of Support from Public Officials: Federal: Support from US Senator Thom Tillis (R-NC)
Statements of Concern from Public Officials: Local: Gaston County Commission (which must rezone site to allow mining) imposed a 60-day moratorium on development while it revised local zoning laws to limit blasting and truck traffic; local officials were irked that the developer's CEO did not attend an informational meeting with the Gaston County Board of Commissioners; The chair of the Commission and other members expressed skepticism/opposition toward the project. The mine likely cannot proceed without a rezoning action by the Gaston County Commissioners; if the County declines to rezone, the developer could go to court and seek a reversal of the County’s decision. Several seats on the Commission turned over in the November 2024 election.
Litigation: Evidence of Litigation: On January 18, 2024, the U.S. District Court for the Eastern District of New York granted the developer's motion to dismiss a securities class action lawsuit, originally filed in July 2021, against Piedmont and two of its executives.  Additional shareholder lawsuits are unresolved, where the allegation is that the developer misrepresented the prospects for mining at the site.
Concerned Interest Groups: Community Residents/Groups: Some local homeowners sold their land to the developer as early as 2017 but some refused, and formed the local opposition group STOP PIEDMONT LITHIUM; 100+ residents attended a public town hall -- the public felt upset with the rollout of the mine's development plan as they perceived they were last to be approached after all other stakeholders.  
Reasons for Concern: Water Supply: Local residents are concerned that the 500-foot mine could cause water wells in the area to dry up.  The developer offered to help residents dig deeper wells or connect to municipal water supplies.
Reasons for Concern: Water Quality: Possible arsenic pollution by releasing naturally-occurring arsenic into surface and groundwater. 
Reasons for Concern: Reputation of the Developer/Parent Company: The developer upset the local community by not involving the community in the creation of the plan. 
Reasons for Concern: Other: Home damage from blasting."
