Mine/Prospect,Project Name,Mining Method,Co-Producing Materials,Existing Mine,Status of Project,Regulatory Challenges ,County,Nearest Population Center,Population Size,Additional Location Information,Mining District,Mineral Occurrence,Lead Developer,Location of Lead Developer HQ,Lead Developer Website,Parent Company,Location of Parent Company HQ,Was There Change in Ownership during Project?,Planned Production Capacity (Thousands of Tons/Year),"Planned Lifespan of Mine 
(Years)",Processing Plan in US,Processing Done by the Same Lead Developer/Parent Company,"Total Capital Costs
 (Millions of Dollars)",Number of Federal Awards,Financial Support by Federal Agency,Year Granted,Grant/Loan,"Amount 
(Millions of Dollars)",Purpose of Support,Public Supply Agreement w/ an Automaker or Battery/Component Producer,Type of Land,Public Land Ownership,Year of Land Acquisition,Evidence of Litigation,Number of Cases,State and/or Federal,Court Rulings Issued,Level of Court,Link to Judicial Decision
Black Butte,,,,,Development. Mine construction was delayed during years of litigation over the Montana DEQ operating permit.  The developer has not yet announced a timetable for construction after the favorable 2024 decision of the Montana State Supreme Court.,"The developer is managing opposition from several conservation groups and mayors of towns that are downstream of the planned project. In 2018 the developer helped defeat (56% - 44%) a statewide ballot proposition (Montana I-186) that would have restricted permitting for mining projects such as Black Butte. The developer is also managing two sets of multi-year lawsuits against its permits, and both cases reached the Montana Supreme Court.",,,,"Located 17 miles north of White Sulphur Springs (955, 2020), central Montana.",,,,,,,,,,,,,,,,,,,,,,,,"In 2024 the Montana Supreme Court upheld the project's operating permit, reversing the lower court's decision. A separate lawsuit alleged the Montana Department of Environmental Quality should have required more permits for the project's planned usage of groundwater. The Montana Supreme Court heard the case in March 2024 and has not yet released a decision.",,,,,
Black Hills -- Longview Minerals,,,,,The developer began drilling on private land in 2022 and is engaged in expanded diamond core exploratory drilling under permits from the South Dakota Department of Agriculture and Natural Resources.  ,,,,,"Four miles south of Custer (population 1,919, 2020), Custer County, southwestern South Dakota. ",,,,,,,,,,,,,,,,,,,,," The developer controls an expansive footprint of 2,469 federal mineral lode claims, including 33Ha of patented claims and 22,300Ha of BLM claims.  ",,,,,,,,
Black Hills -- Midwest Lithium,Also called South Dakota Lithium Project,,,,"The developer is undertaking exploration geology work preparing for its first drill program, which involves detailed channel sampling, mapping, geochemistry analysis, and target generation.  Midwest Lithium’s projects are located in the Black Hills region, encompassing five key areas, notably Keystone, Hill City, Phelps, Tin Mountain, and Scott’s Rose.","Mining opponents have sought unsuccessfully to classify lithium as hard rock mining, which would impose stricter mining regulations. ",,,,"Near Custer (1,919, 2020), Custer County, southwest South Dakota.  Also ¼ mile south of municipal boundary of Hill City. Hill City is the oldest existing city in Pennington County, South Dakota, United States. The population was 872 at the 2020 census. But as of the 2024 census, the population is now over 1,000. Hill City is located 26 miles (42 km) southwest of Rapid City on U.S. Highway 16 and on U.S. Route 385 that connects Deadwood to Hot Springs.","Visible spodumene and other lithium minerals are easily identified around the Black Hills mining district, which is home to a number of historical mines and some of the first spodumene processing plants worldwide (1890 through World War II), indicating that spodumene in the region can be easily extracted through conventional DMS and flotation methods.  ",,,,,"Armada Metals (Australia), which wholly owns Midwest Lithium (Switzerland/Australia), is undergoing a name change to Rapid Lithium Limited. ",," In October 2024, Armada purchased 100% of Midwest Lithium.  Armada acquired a 100% equity interest in Midwest from its various securityholders in exchange for the issue of 343 million shares, at completion of the transaction representing 50% of Armada’s capital following the recently completed equity raise.",,, Processing is planned to be on-site. ,,,,,,,,,,"The South Dakota lithium project comprises of around 23,500 acres of both Federal and Private Land.",,,,,,,,
Black Hills -- Patriot Lithium,"The Black Hills -- Patriot Lithium project is made up of the Tinton West Project (South Dakota/Wyoming) and the Keystone Project (South Dakota).
",,,"The Etta Mine at Keystone was an important global lithium source in the first half of the 20th century and operated for over 60 years (1898 to 1960). At times it was the main source of spodumene in the world and is famous for its very large (up to >14 m-long) spodumene crystals, the largest known on Earth.","In 2023 the developer began a mapping and sampling program following its recently completed reconnaissance work, which identified areas of high prospectivity for pegmatite-hosted lithium mineralization. The developer’s exploration activities have confirmed that the site, once a lithium mine, is a promising site for lithium development.  Patriot Lithium is expanding exploration at its prospective Black Hills portfolio, which includes the Keystone and Tinton West projects across South Dakota and Wyoming. ",,,,,"Trinton West Project -- The Tinton West Project is situated in the northern Black Hills straddling the boundary between Lawrence County, South Dakota, and Crook County, Wyoming. The Project area is located 18 km southwest of the town of Spearfish (pop 13,282, 2023) and 72 km northwest of Rapid City (pop 74,703, 2020). Of the 69 unpatented lode mining claims at the Tinton West Project, 20 are located in South Dakota (referred to as the TSD Claim Group) and 49 are located in Wyoming (TW Claim Group). All claims are wholly owned by Patriot Lithium; Keystone Project -- The Keystone Project encircles the town of Keystone (pop 240, 2020), Pennington County, a small settlement in the central-eastern Black Hills, approximately 26 km southwest of Rapid City (pop 74,703, 2020), the 2nd largest city in the state of South Dakota. The Keystone Project comprises 255 unpatented lode mining claims in four separate blocks that are held 100% by Patriot Lithium. The claims, referred to as the Key Claim Group, are located on public lands in the Black Hills National Forest of Pennington and Custer counties, South Dakota. ","The Black Hills mining region of South Dakota is perhaps best known for its rich gold deposits like Homestake, where 44Moz was mined over 100 years. But, until recently, most people wouldn’t have been aware of its history as one of the largest producing lithium districts in the world from the late 1800s to the mid to late 1900s. It is not one of those lithium districts previously mined for its tin or tantalum – this was a true lithium mining district. That means the geology and metallurgy is well understood.  It also boasts the largest spodumene crystals (~6% lithium) in the world. How big? The Etta mine — at times the main source of spodumene in the world — yielded the largest (up to 15m long, weighing 90 tonnes) spodumene crystals ever mined. ",,Patriot Lithium (AU) was founded in 2021; Patriot Lithium has secured a binding option agreement to acquire an 80% stake in the Katwaro Copper Project in Zambia from Array Metals and Natural Resources. The move aims to diversify the company’s asset portfolio and provide jurisdictional diversity. The Katwaro Project near Mumbwa encompasses 400ha and features a historical open-pit mine with copper-bearing meta-sediments.,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hills -- United Lithium,"Also referred to as ""Liberty Lithium Project""
",,,Area was mined for lithium-beryllium during World War 2.,,,,,,"The Project is near Pringle (pop 109, 2020), south of Custer (pop 1,919, 2020), Custer County, southwestern South Dakota, more than 10 miles (16 kms) from Mount Rushmore and the Crazy Horse National Monument. ",,,,,,,,,,,,,,,,,,,,Black Hills National Forest (USFS).,The developer staked over 500 unpatented lode claims covering more than 15 square miles (nearly 40 square kilometers) in the west and southwest parts of the Black Hills. Additional claims staked later. ,,,,,,,,
Blackpine,,,,Land includes old Blackpine copper mine operated from 1945 to 1965.,In FY 2023 Annual Report the developer stated there was no significant exploration activity at the site and no progress has been made; Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024.,,,,,"Near Cobalt (pop 13, 2020), central Idaho. ",,,,,,,,,,,,,,,,,,,,,,Public land with US Forest Service oversight.,,,,,,,
Blue Clay,,,,,"In 2022 the developer’s maiden drill program revealed a new lithium discovery through Blue Clay Lithium Project in Clayton Valley. Lithium values as high as 1230 ppm Li were encountered with 800 ppm Li over 120 feet, including 1,011 ppm Li over 40 feet.",,,,,"Near town of Silver Peak (pop 121, 2020), Clayton Valley, Esmeralda County, Nevada. Directly adjoins the western portion of lithium producer Albemarle’s evaporation ponds and is nearby Century Lithium Corp.’s proposed 5,430-acre Angel Island Lithium Mine.",,,,,,,,"The developer closed an option agreement dated September 30, 2021 to acquire the Blue Clay Lithium Project in Clayton Valley Nevada. This project consists of 94 contiguous claims totaling approximately 1950 acres prospective for lithium. ",,,,,,,,,,,,,,,,,,,,,
Bonanza,,,,,"In the first quarter of 2024, the developer reported no field activity at the site.",,,,,"Near Cobalt (pop 13, 2020), central Idaho",,,,,,,,,,,,,,,,,,,,,"3,200 hectare Bonanza Project holdings",,,,,,,,
Bonnie Claire,,Borehole extraction method,,Previous industrial site – milling for local mines in the 1900s,"The 2024 drilling program extended to 2,807 feet and intersected the northeast continuation of the high-grade Lithium and Boron mineralized zone. The 518 ft intercept is the thickest +5,000 ppm lithium interval drilled to date.",,,,,"Nearest town is Beatty (population 880, 2020), 25 miles southeast; Beatty is 8 miles east of Death Valley National Park in southeast Nevada; 125 miles northwest of Las Vegas, Nevada.",,,,,,,,"Iconic Minerals LTD first staked the land, then split ownership 50/50 with Nevada Lithium Resources Inc. before Nevada Lithium Inc. secured 100% ownership of the project.  ",,,"Mineral processing has been planned to be conducted on-site, however this is still in the development phase.",,,,,,,,,,Private Land - 18300-acre land package.,,,,,,,,
Borax Lake,,,,,"Work at the site ended in 2022 when the BLM determined that the claims were in an area of eastern Oregon that Congress withdrew from mining in a federal conservation law called the Steens Act of 2,000.  ",The land this project was planned for is off-limits to mining per an action by Congress.,,,,"Near town of Fields (pop 120, 2010), in Alvord Desert, southeast Oregon. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boron,,,,,"Development of the lithium project at Boron draws on developer’s long standing partnership with the U.S. Department of Energy’s Critical Materials Institute (CMI), which is committed to discovering ways to economically recover critical mineral by-products from existing refining and smelting processes. CMI experts worked alongside the developer’s technical leads to help solve a number of key processing challenges to produce battery grade lithium at ",,,,,"Located on western edge of Mojave Desert, near town of Boron (pop 2,086, 2020), south-central California. Boron was a mining town established soon after a borax deposit was discovered in 1925. Site of California’s largest open-pit mine (boron) and largest boronate mine in the world.",,,,,,,,,,,,,,,In-kind assistance through technical collaboration with DOE’s Critical Materials Institute; no grant or loan.,,,,,,,,,,,,,,
Brook,,,,,,"The developer originally thought it could initiate rare earth mining under its 2020 coal mining permit.  However, it may be necessary to obtain a separate permit for rare-earth mining insofar as the method is different and the environmental impacts could be somewhat different.",,,,"Outside Sheridan (pop 18,737), in north central Wyoming",,,"Ramaco Resources (US, coal producer).  Ramaco has properties in West Virginia and Virginia, was founded in 2011, went public in 2017 and has since grown to a run rate of 5 million tons annually (with plans to expand to 7+ Mtpy as the market allows), over 1,000 employees and reserves of roughly 60 million tons.",,,,,Ramaco purchased the Brook mine in 2011. It had been continuously owned by Pittston Coal since 1912.,,,,,,,,,,,,,"Private -- The Brook Mine comprises over 15,800 acres outside of Sheridan, Wyoming, one of the largest privately controlled mineral reserves in the Western United States. Roughly 4,500 acres were permitted for mining in 2020, which is where the initial assessment program has been conducted. Opportunity for expansion of project.",,,,,,,,
Cactus Copper,,"94% of mined material from open pit (Cactus West and Parks/Salyer), 6% from the Stockpile and Cactus East underground.",,Yes. ASARCO operated copper mine from 1974-1984.   It was called the Sacaton mine.  ,The developer completed a Preliminary Economic Assessment in the third quarter of 2024 following an updated mineral resource estimate from July 2024.  The next step is a definitive feasibility study.   ,,,,,"Located 43 miles south of Phoenix International Airport and 6.2 miles south of the city of Casa Grande (pop 55,653, 2020), Arizona.  ",,,Arizona Sonoran Copper (ASCU) has granted Nuton (a subsidiary of Rio Tinto Inc) an exclusive right and option to acquire between a 35% and 40% interest in its Cactus project.,,,,,Developer acquired project from ASARCO Trust in July 2020.  ,,,,"Copper cathodes will be produced directly onsite through heap leaching, solvent extraction, and electrowinning (SXEW), including a four-year ramp-up period.  ",,,,,,,,,,,,,,,,,
Carolina Lithium,,"Plan for 4 new open pit mines, each 50 feet deep, 1,500 acres.",,"Site is location of old lithium mines that closed in 1980s and 1990s (competition from South America). From the 1950s to the 1980s, the Carolina Tin-Spodumene Belt provided nearly all the world’s lithium, delivering important supply chain resources to the U.S. military as well as the automotive, glass, ceramics, and pharmaceutical industries.",The developer no longer has an explicit schedule for starting production but in 2024 secured a critical state permit,It took the developer several years longer than expected to obtain necessary state permits.  The required rezoning by the Gaston County Commissioners has not yet occurred.,,,,"Located about 30 miles west of Charlotte, North Carolina, near the town of Cherryville (pop 6,707, 2020) within the Carolina Tin-Spodumene Belt.  ",,,,,,The Australian company Sayona is buying Piedmont Lithium (developer of Carolina Lithium in Gaston County).  CEO of Piedmont Lithium is turning over and Sayona will become parent of a new subsidiary that includes Piedmont Lithium.,,,,,,"The developer replaced a planned processing plant at the mine site with a new plant in Tennessee ($141.7 million federal grant) with mined ore from Quebec and Ghana util Carolina Lithium is operational; however, in 2024 the developer, facing financial challenges, decided not to proceed with the processing plant in Tennessee.",,,,,,,,"The developer in 2020 signed a deal to supply Tesla from Carolina Lithium. Tesla agreed to buy 160,000 tons/year of spodumene for at least five years (the expectation was it would come from the new Gaston County mine); first deliveries were scheduled for July 2022 and July 2023; The Tesla deal was amended in January 2023 to 125,000 tons per year from 2023-2025 (the likely source being Piedmont Lithium’s lithium mine in Quebec, Canada in partnership with Sayona Quebec)","Company controls 3,100 acres of private land. ",,,"On January 18, 2024, the U.S. District Court for the Eastern District of New York granted the developer's motion to dismiss a securities class action lawsuit, originally filed in July 2021, against Piedmont and two of its executives.  Additional shareholder lawsuits are unresolved, where the allegation is that the developer misrepresented the prospects for mining at the site.",,,,,
CK Gold/Copper,,"Open pit, using froth flotation to extract the materials; 80 acres, 800 feet deep.",,"Copper King Mine started in 1881, was an underground operation, and Herc ceased operation just prior to World War II.  Much exploratory drilling by several developers since then.  In 2016 US Gold Corporation acquired 100% of the mineral leases.  ","The State granted US Gold an operating permit in April/May 2024; a reclamation bond was put up for any initial disturbance in May 2024; water discharge permit was granted in June 2024; and the last required permit, the air permit, was granted in November 2024. Now the developer will prepare a  feasibility study and raise capital for construction; Prefeasibility study released December 2021, to be updated summer of 2024. Industrial siting permit approved June 20, 2023. General permit application submitted to Wyoming Department of Environmental Quality in 2022; permit awarded April 29, 2024. Water permit awarded June 2024.  Working on air permit. ",,,,,"Located 20 miles west of Cheyenne (65,132, 2020), near Curt Gowdy State Park, southeastern Wyoming. ",,,Subsidiary Gold King Corporation.,,,,,,,,Some onsite processing but more advanced processing at existing offsite locations in US and/or abroad. ,,,,,,,,,,,"A large portion of the mine will be on state-owned lands known as school trust lands, which means the royalties generated from it will go toward the state's school system. ",,,,,,,
Clayton Valley (ACME),,,,,"In March 2024, the developer filed a NI 43-101 technical report with an estimated inferred lithium carbon equivalent (LCE) resource of 302,900 metric tons over a 40-year extraction period. ","The current state ground water regulation is the most serious issue for the Project. Clayton Valley is now judged to be over allocated and new diversions are not granted. To move into production, ACME will need to get permitting and allocation for water rights from the State of Nevada, purchase water rights from an existing holder, or see changes in how brines are regulated similar to geothermal fluids. ",,,,"Located near Silver Peak (pop 213, 2022), 5 miles from Goldfield (pop 268, 2010), county seat of Esmeralda County, 30 miles west-southwest of Tonopah (pop 2,478, 2010), northwest quadrant of Clayton Valley, Nevada; less than 200 miles from Las Vegas; adjacent to Albemarle’s active Silver Peak lithium mine and the claims/exploration by Pure Energy Minerals.",,,,,,,,,,,,,,,,,,,,,,"119 lode mining claims, covering 2,230 acres. ",,,,,,,
